RSC03 Emulated ROM input table

$Id: edge_table.txt,v 1.1 2017/03/14 03:00:54 skeezics Exp $
$Source: /home/skeezics/perq/shared/PERQemu-source/PERQemu/PROM/RCS/edge_table.txt,v $

This is NOT the PERQ ROM, but rather a synthesized table used to
determine the behavior when edge words are encountered in the
destination pipeline and decisions about the source words need to
be taken.  It is fed into makerom.pl to produce the rsc03emu.rom
image.  There should be 128 entries here.

mask	0 (00) = no edges	result	0 (00) = NoPopNoPeek
	1 (01) = left			1 (01) = NoPopPeek
	2 (10) = right			2 (10) = PopNoPeek
	3 (11) = both			3 (11) = PopPeek
					7 (111) = Unknown

key:	dir dst src lo xflg	result

000	 0   0   0   0   0	Unknown
001	 0   0   0   0   1	Unknown
002	 0   0   0   1   0	Unknown
003	 0   0   0   1   1	Unknown
004	 0   0   1   0   0	Unknown
005	 0   0   1   0   1	Unknown
006	 0   0   1   1   0	Unknown
007	 0   0   1   1   1	Unknown
008	 0   0   2   0   0	Unknown
009	 0   0   2   0   1	Unknown
00a	 0   0   2   1   0	Unknown
00b	 0   0   2   1   1	Unknown
00c	 0   0   3   0   0	Unknown
00d	 0   0   3   0   1	Unknown
00e	 0   0   3   1   0	Unknown
00f	 0   0   3   1   1	Unknown
010	 0   1   0   0   0	Unknown
011	 0   1   0   0   1	Unknown
012	 0   1   0   1   0	Unknown
013	 0   1   0   1   1	Unknown
014	 0   1   1   0   0	PopNoPeek
015	 0   1   1   0   1	PopPeek
016	 0   1   1   1   0	Unknown
017	 0   1   1   1   1	Unknown
018	 0   1   2   0   0	Unknown
019	 0   1   2   0   1	Unknown
01a	 0   1   2   1   0	Unknown
01b	 0   1   2   1   1	Unknown
01c	 0   1   3   0   0	NoPopNoPeek
01d	 0   1   3   0   1	NoPopNoPeek
01e	 0   1   3   1   0	Unknown
01f	 0   1   3   1   1	Unknown
020	 0   2   0   0   0	Unknown
021	 0   2   0   0   1	Unknown
022	 0   2   0   1   0	PopNoPeek
023	 0   2   0   1   1	PopNoPeek
024	 0   2   1   0   0	Unknown
025	 0   2   1   0   1	Unknown
026	 0   2   1   1   0	Unknown
027	 0   2   1   1   1	PopNoPeek
028	 0   2   2   0   0	Unknown
029	 0   2   2   0   1	Unknown
02a	 0   2   2   1   0	PopNoPeek
02b	 0   2   2   1   1	PopNoPeek
02c	 0   2   3   0   0	Unknown
02d	 0   2   3   0   1	Unknown
02e	 0   2   3   1   0	PopNoPeek
02f	 0   2   3   1   1	Unknown
030	 0   3   0   0   0	Unknown
031	 0   3   0   0   1	Unknown
032	 0   3   0   1   0	Unknown
033	 0   3   0   1   1	Unknown
034	 0   3   1   0   0	Unknown
035	 0   3   1   0   1	Unknown
036	 0   3   1   1   0	Unknown
037	 0   3   1   1   1	PopPeek
038	 0   3   2   0   0	Unknown
039	 0   3   2   0   1	Unknown
03a	 0   3   2   1   0	Unknown
03b	 0   3   2   1   1	Unknown
03c	 0   3   3   0   0	Unknown
03d	 0   3   3   0   1	Unknown
03e	 0   3   3   1   0	PopNoPeek
03f	 0   3   3   1   1	PopNoPeek

040	 1   0   0   0   0	Unknown
041	 1   0   0   0   1	Unknown
042	 1   0   0   1   0	Unknown
043	 1   0   0   1   1	Unknown
044	 1   0   1   0   0	Unknown
045	 1   0   1   0   1	Unknown
046	 1   0   1   1   0	Unknown
047	 1   0   1   1   1	Unknown
048	 1   0   2   0   0	Unknown
049	 1   0   2   0   1	Unknown
04a	 1   0   2   1   0	Unknown
04b	 1   0   2   1   1	Unknown
04c	 1   0   3   0   0	Unknown
04d	 1   0   3   0   1	Unknown
04e	 1   0   3   1   0	Unknown
04f	 1   0   3   1   1	Unknown
050	 1   1   0   0   0	Unknown
051	 1   1   0   0   1	Unknown
052	 1   1   0   1   0	PopNoPeek
053	 1   1   0   1   1	PopNoPeek
054	 1   1   1   0   0	Unknown
055	 1   1   1   0   1	Unknown
056	 1   1   1   1   0	PopNoPeek
057	 1   1   1   1   1	PopNoPeek
058	 1   1   2   0   0	Unknown
059	 1   1   2   0   1	Unknown
05a	 1   1   2   1   0	Unknown
05b	 1   1   2   1   1	PopNoPeek
05c	 1   1   3   0   0	Unknown
05d	 1   1   3   0   1	Unknown
05e	 1   1   3   1   0	Unknown
05f	 1   1   3   1   1	PopNoPeek
060	 1   2   0   0   0	Unknown
061	 1   2   0   0   1	Unknown
062	 1   2   0   1   0	Unknown
063	 1   2   0   1   1	Unknown
064	 1   2   1   0   0	Unknown
065	 1   2   1   0   1	Unknown
066	 1   2   1   1   0	Unknown
067	 1   2   1   1   1	Unknown
068	 1   2   2   0   0	PopNoPeek
069	 1   2   2   0   1	PopPeek
06a	 1   2   2   1   0	Unknown
06b	 1   2   2   1   1	Unknown
06c	 1   2   3   0   0	Unknown
06d	 1   2   3   0   1	NoPopNoPeek
06e	 1   2   3   1   0	Unknown
06f	 1   2   3   1   1	Unknown
070	 1   3   0   0   0	Unknown
071	 1   3   0   0   1	Unknown
072	 1   3   0   1   0	Unknown
073	 1   3   0   1   1	Unknown
074	 1   3   1   0   0	Unknown
075	 1   3   1   0   1	Unknown
076	 1   3   1   1   0	Unknown
077	 1   3   1   1   1	Unknown
078	 1   3   2   0   0	Unknown
079	 1   3   2   0   1	Unknown
07a	 1   3   2   1   0	Unknown
07b	 1   3   2   1   1	PopPeek
07c	 1   3   3   0   0	Unknown
07d	 1   3   3   0   1	Unknown
07e	 1   3   3   1   0	PopNoPeek
07f	 1   3   3   1   1	PopNoPeek
