
RDS00 Emulated ROM input table

$Id: mask_table.txt,v 1.2 2017/03/18 20:07:13 skeezics Exp $
$Source: /home/skeezics/perq/shared/PERQemu-source/PERQemu/PROM/RCS/mask_table.txt,v $

This is NOT the PERQ ROM, but rather a synthesized table used to
tag each word with a mask type as it flows through the source and
destination FIFOs.  The CombinerFlags (see RasterOp.cs) identifies
each word as outside the update region, as a leading or trailing
edge, or as a full update word be taken.  It is fed into makerom.pl
to produce the rds00emu.rom image.  There should be 512 entries here.

Note: "phase" is only the two low bits of the RasterOp phase (from
the CntlRasterOp register). You are not expected to understand this.

result	00 (00000) = Invalid
	01 (00001) = DontMask
	02 (00010) = LeftEdge
	04 (00100) = RightEdge
	06 (00110) = Both
	08 (01000) = FullWord
	10 (10000) = Leftover

key:	phase dir dwp wid idx	result

000	  0   0   0  0  0	LeftEdge
001	  0   0   0  0  1	FullWord
002	  0   0   0  0  2	FullWord
003	  0   0   0  0  3	FullWord
004	  0   0   0  1  0	LeftEdge
005	  0   0   0  1  1	FullWord
006	  0   0   0  1  2	FullWord
007	  0   0   0  1  3	FullWord
008	  0   0   0  2  0	LeftEdge
009	  0   0   0  2  1	FullWord
00a	  0   0   0  2  2	FullWord
00b	  0   0   0  2  3	FullWord
00c	  0   0   0  3  0	LeftEdge
00d	  0   0   0  3  1	FullWord
00e	  0   0   0  3  2	FullWord
00f	  0   0   0  3  3	FullWord
010	  0   0   1  0  0	DontMask
011	  0   0   1  0  1	LeftEdge
012	  0   0   1  0  2	FullWord
013	  0   0   1  0  3	FullWord
014	  0   0   1  1  0	DontMask
015	  0   0   1  1  1	LeftEdge
016	  0   0   1  1  2	FullWord
017	  0   0   1  1  3	FullWord
018	  0   0   1  2  0	DontMask
019	  0   0   1  2  1	LeftEdge
01a	  0   0   1  2  2	FullWord
01b	  0   0   1  2  3	FullWord
01c	  0   0   1  3  0	DontMask
01d	  0   0   1  3  1	LeftEdge
01e	  0   0   1  3  2	FullWord
01f	  0   0   1  3  3	FullWord
020	  0   0   2  0  0	DontMask
021	  0   0   2  0  1	DontMask
022	  0   0   2  0  2	LeftEdge
023	  0   0   2  0  3	FullWord
024	  0   0   2  1  0	DontMask
025	  0   0   2  1  1	DontMask
026	  0   0   2  1  2	LeftEdge
027	  0   0   2  1  3	FullWord
028	  0   0   2  2  0	DontMask
029	  0   0   2  2  1	DontMask
02a	  0   0   2  2  2	LeftEdge
02b	  0   0   2  2  3	FullWord
02c	  0   0   2  3  0	DontMask
02d	  0   0   2  3  1	DontMask
02e	  0   0   2  3  2	LeftEdge
02f	  0   0   2  3  3	FullWord
030	  0   0   3  0  0	DontMask
031	  0   0   3  0  1	DontMask
032	  0   0   3  0  2	DontMask
033	  0   0   3  0  3	LeftEdge
034	  0   0   3  1  0	DontMask
035	  0   0   3  1  1	DontMask
036	  0   0   3  1  2	DontMask
037	  0   0   3  1  3	LeftEdge
038	  0   0   3  2  0	DontMask
039	  0   0   3  2  1	DontMask
03a	  0   0   3  2  2	DontMask
03b	  0   0   3  2  3	LeftEdge
03c	  0   0   3  3  0	DontMask
03d	  0   0   3  3  1	DontMask
03e	  0   0   3  3  2	DontMask
03f	  0   0   3  3  3	LeftEdge

040	  0   1   0  0  0	RightEdge
041	  0   1   0  0  1	DontMask
042	  0   1   0  0  2	DontMask
043	  0   1   0  0  3	DontMask
044	  0   1   0  1  0	RightEdge
045	  0   1   0  1  1	DontMask
046	  0   1   0  1  2	DontMask
047	  0   1   0  1  3	DontMask
048	  0   1   0  2  0	RightEdge
049	  0   1   0  2  1	DontMask
04a	  0   1   0  2  2	DontMask
04b	  0   1   0  2  3	DontMask
04c	  0   1   0  3  0	RightEdge
04d	  0   1   0  3  1	DontMask
04e	  0   1   0  3  2	DontMask
04f	  0   1   0  3  3	DontMask
050	  0   1   1  0  0	FullWord
051	  0   1   1  0  1	RightEdge
052	  0   1   1  0  2	DontMask
053	  0   1   1  0  3	DontMask
054	  0   1   1  1  0	FullWord
055	  0   1   1  1  1	RightEdge
056	  0   1   1  1  2	DontMask
057	  0   1   1  1  3	DontMask
058	  0   1   1  2  0	FullWord
059	  0   1   1  2  1	RightEdge
05a	  0   1   1  2  2	DontMask
05b	  0   1   1  2  3	DontMask
05c	  0   1   1  3  0	FullWord
05d	  0   1   1  3  1	RightEdge
05e	  0   1   1  3  2	DontMask
05f	  0   1   1  3  3	DontMask
060	  0   1   2  0  0	FullWord
061	  0   1   2  0  1	FullWord
062	  0   1   2  0  2	RightEdge
063	  0   1   2  0  3	DontMask
064	  0   1   2  1  0	FullWord
065	  0   1   2  1  1	FullWord
